AùL, 0, 0, -1
20.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
20.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
21.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
21.2, JOYSTICK, 0, 000, stopAll, 440, 507, 0
21.3, JOYSTICK, 0, 000, stopAll, 433, 507, 0
21.4, JOYSTICK, 2, 000, moveBackward, 378, 506, -1
21.5, JOYSTICK, 2, 000, moveBackward, 375, 506, -1
21.6, JOYSTICK, 3, 000, moveBackward, 368, 506, -1
21.7, JOYSTICK, 4, 000, moveBackward, 357, 506, -1
21.8, JOYSTICK, 9, 000, moveBackward, 305, 506, -1
22.0, JOYSTICK, 9, 000, moveBackward, 305, 506, -1
22.1, JOYSTICK, 9, 000, moveBackward, 305, 506, -1
22.2, JOYSTICK, 9, 000, moveBackward, 305, 506, -1
22.3, JOYSTICK, 9, 000, moveBackward, 305, 506, -1
22.4, JOYSTICK, 9, 000, moveBackward, 306, 506, -1
22.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
22.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
22.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
22.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
23.0, JOYSTICK, 0, 000, stopAll, 499, 507, 0
23.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
23.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
23.3, JOYSTICK, 0, 000, stopAll, 499, 507, 0
23.4, JOYSTICK, 0, 000, stopAll, 499, 507, 0
23.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
23.7, JOYSTICK, 0, 000, stopAll, 545, 507, 0
23.8, JOYSTICK, 0, 000, stopAll, 589, 507, 0
23.9, JOYSTICK, 9, 000, moveForward, 697, 507, -1
24.0, JOYSTICK, 9, 000, moveForward, 699, 507, -1
24.1, JOYSTICK, 9, 000, moveForward, 698, 507, -1
24.2, JOYSTICK, 9, 000, moveForward, 698, 507, -1
24.3, JOYSTICK, 0, 000, stopAll, 499, 507, 0
24.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
24.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
24.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
24.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
24.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
25.0, JOYSTICK, 0, 000, stopAll, 499, 507, 0
25.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
25.2, JOYSTICK, 0, 000, stopAll, 446, 507, 0
25.4, JOYSTICK, 1, 000, moveBackward, 388, 507, -1
25.5, JOYSTICK, 2, 000, moveBackward, 378, 506, -1
25.6, JOYSTICK, 2, 000, moveBackward, 378, 507, -1
25.7, JOYSTICK, 3, 000, moveBackward, 369, 507, -1
25.8, JOYSTICK, 3, 000, moveBackward, 362, 506, -1
25.9, JOYSTICK, 5, 000, moveBackward, 348, 507, -1
26.0, JOYSTICK, 5, 000, moveBackward, 347, 506, -1
26.1, JOYSTICK, 5, 000, moveBackward, 347, 506, -1
26.3, JOYSTICK, 5, 000, moveBackward, 347, 506, -1
26.4, JOYSTICK, 1, 000, moveBackward, 382, 506, -1
26.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
26.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
26.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
26.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
26.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
27.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
27.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
27.3, JOYSTICK, 0, 000, stopAll, 499, 507, 0
27.4, JOYSTICK, 0, 000, stopAll, 499, 507, 0
27.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
27.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
27.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
27.8, JOYSTICK, 0, 000, stopAll, 500, 507, 0
28.0, JOYSTICK, 0, 000, stopAll, 581, 507, 0
28.1, JOYSTICK, 0, 000, stopAll, 580, 507, 0
28.2, JOYSTICK, 0, 000, stopAll, 580, 507, 0
28.3, JOYSTICK, 0, 000, stopAll, 580, 507, 0
28.4, JOYSTICK, 0, 000, stopAll, 580, 506, 0
28.5, JOYSTICK, 0, 000, stopAll, 581, 507, 0
28.6, JOYSTICK, 0, 000, stopAll, 580, 506, 0
28.7, JOYSTICK, 0, 000, stopAll, 581, 507, 0
28.9, JOYSTICK, 0, 000, stopAll, 593, 507, 0
29.0, JOYSTICK, 0, 000, stopAll, 594, 507, 0
29.1, JOYSTICK, 9, 000, moveForward, 696, 507, -1
29.2, JOYSTICK, 9, 000, moveForward, 695, 507, -1
29.3, JOYSTICK, 13, 000, moveForward, 736, 507, -1
29.4, JOYSTICK, 14, 000, moveForward, 743, 507, -1
29.5, JOYSTICK, 14, 000, moveForward, 748, 507, -1
29.7, JOYSTICK, 14, 000, moveForward, 749, 507, -1
29.8, JOYSTICK, 14, 000, moveForward, 747, 507, -1
29.9, JOYSTICK, 14, 000, moveForward, 745, 507, -1
30.0, JOYSTICK, 0, 000, stopAll, 545, 507, 0
30.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
30.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
30.3, JOYSTICK, 0, 000, stopAll, 499, 507, 0
30.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
30.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
30.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
30.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
30.9, JOYSTICK, 0, 000, stopAll, 445, 507, 0
31.0, JOYSTICK, 0, 000, stopAll, 436, 506, 0
31.1, JOYSTICK, 1, 000, moveBackward, 383, 507, -1
31.2, JOYSTICK, 1, 000, moveBackward, 382, 507, -1
31.4, JOYSTICK, 1, 000, moveBackward, 382, 506, -1
31.5, JOYSTICK, 1, 000, moveBackward, 382, 506, -1
31.6, JOYSTICK, 1, 000, moveBackward, 382, 507, -1
31.7, JOYSTICK, 1, 000, moveBackward, 382, 506, -1
31.8, JOYSTICK, 1, 000, moveBackward, 381, 507, -1
31.9, JOYSTICK, 3, 000, moveBackward, 369, 506, -1
32.0, JOYSTICK, 6, 000, moveBackward, 333, 506, -1
32.1, JOYSTICK, 6, 000, moveBackward, 332, 506, -1
32.3, JOYSTICK, 7, 000, moveBackward, 327, 506, -1
32.4, JOYSTICK, 7, 000, moveBackward, 326, 506, -1
32.5, JOYSTICK, 7, 000, moveBackward, 322, 506, -1
32.6, JOYSTICK, 7, 000, moveBackward, 322, 506, -1
32.7, JOYSTICK, 7, 000, moveBackward, 327, 506, -1
32.8, JOYSTICK, 6, 000, moveBackward, 339, 506, -1
32.9, JOYSTICK, 0, 000, stopAll, 402, 506, 0
33.1, JOYSTICK, 0, 000, stopAll, 402, 506, 0
33.2, JOYSTICK, 0, 000, stopAll, 401, 506, 0
33.3, JOYSTICK, 0, 000, stopAll, 401, 506, 0
33.4, JOYSTICK, 0, 000, stopAll, 401, 506, 0
33.5, JOYSTICK, 0, 000, stopAll, 401, 506, 0
33.6, JOYSTICK, 0, 000, stopAll, 400, 506, 0
33.7, JOYSTICK, 0, 000, stopAll, 400, 506, 0
33.8, JOYSTICK, 0, 000, moveBackward, 392, 506, -1
34.0, JOYSTICK, 1, 000, moveBackward, 385, 506, -1
34.1, JOYSTICK, 5, 000, moveBackward, 343, 506, -1
34.2, JOYSTICK, 5, 000, moveBackward, 343, 506, -1
34.3, JOYSTICK, 6, 000, moveBackward, 340, 506, -1
34.4, JOYSTICK, 6, 000, moveBackward, 337, 506, -1
34.5, JOYSTICK, 7, 000, moveBackward, 330, 506, -1
34.6, JOYSTICK, 7, 000, moveBackward, 329, 506, -1
34.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
34.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
35.0, JOYSTICK, 0, 000, stopAll, 499, 507, 0
35.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
35.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
35.3, JOYSTICK, 0, 000, stopAll, 499, 507, 0
35.4, JOYSTICK, 0, 000, stopAll, 499, 507, 0
35.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
35.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
35.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
35.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
36.0, JOYSTICK, 0, 000, stopAll, 499, 507, 0
36.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
36.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
36.3, JOYSTICK, 0, 000, stopAll, 499, 507, 0
36.4, JOYSTICK, 0, 000, stopAll, 499, 507, 0
36.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
36.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
36.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
36.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
37.0, JOYSTICK, 0, 000, stopAll, 499, 507, 0
37.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
37.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
37.4, JOYSTICK, 0, 000, stopAll, 499, 507, 0
37.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
37.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
37.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
37.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
37.9, JOYSTICK, 0, 000, stopAll, 499, 507, 0
38.0, JOYSTICK, 0, 000, stopAll, 499, 507, 0
38.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
38.3, JOYSTICK, 0, 000, stopAll, 499, 507, 0
38.4, JOYSTICK, 0, 000, stopAll, 499, 507, 0
38.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
38.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
38.7, JOYSTICK, 0, 000, stopAll, 499, 507, 0
38.8, JOYSTICK, 0, 000, stopAll, 499, 507, 0
39.0, JOYSTICK, 0, 000, stopAll, 499, 507, 0
39.1, JOYSTICK, 0, 000, stopAll, 499, 507, 0
39.2, JOYSTICK, 0, 000, stopAll, 499, 507, 0
39.3, JOYSTICK, 0, 000, stopAll, 499, 507, 0
39.4, JOYSTICK, 0, 000, stopAll, 499, 507, 0
39.5, JOYSTICK, 0, 000, stopAll, 499, 507, 0
39.6, JOYSTICK, 0, 000, stopAll, 499, 507, 0
39.7, JOYSTICK, 0, 000, SwitchState, 0, 405, 1
39.8, JOYSTICK, 0, 000, SwitchState, 0, 405, 1
40.0, JOYSTICK, 0, 000, stopAll, 499, 507, 0
40.1, JOYSTICK, 0, 000, SwitchState, 0, 506, 1
40.2, JOYSTICK, 0, 000, SwitchState, 0, 506, 1
40.3, JOYSTICK, 0, 000, stopAll, 499, 507, 0
*** MODE SWITCH: AI CAMERA
40.4, AI_CAM, 0, 000, stopAll, 499, 507, -1
40.5, AI_CAM, 0, 000, stopAll, 499, 507, -1
40.6, AI_CAM, 0, 000, stopAll, 499, 507, -1
40.7, AI_CAM, 0, 000, stopAll, 499, 507, -1
40.9, AI_CAM, 0, 000, stopAll, 499, 507, -1
41.0, AI_CAM, 0, 000, stopAll, 499, 507, -1
41.1, AI_CAM, 0, 000, stopAll, 499, 507, -1
41.2, AI_CAM, 0, 000, stopAll, 499, 507, -1
41.3, AI_CAM, 0, 000, stopAll, 499, 507, -1
41.4, AI_CAM, 0, 000, stopAll, 499, 507, -1
41.5, AI_CAM, 0, 000, stopAll, 499, 507, -1
41.7, AI_CAM, 0, 000, stopAll, 499, 507, -1
41.8, AI_CAM, 0, 000, stopAll, 499, 507, -1
41.9, AI_CAM, 0, 000, stopAll, 499, 507, -1
42.0, AI_CAM, 0, 000, stopAll, 499, 507, -1
42.1, AI_CAM, 0, 000, stopAll, 499, 507, -1
42.2, AI_CAM, 0, 000, stopAll, 499, 507, -1
42.3, AI_CAM, 0, 000, stopAll, 499, 507, -1
42.5, AI_CAM, 0, 000, stopAll, 499, 507, -1
42.6, AI_CAM, 0, 000, stopAll, 499, 507, -1
42.7, AI_CAM, 0, 000, stopAll, 499, 507, -1
42.8, AI_CAM, 0, 000, stopAll, 499, 507, -1
42.9, AI_CAM, 0, 000, stopAll, 499, 507, -1
43.0, AI_CAM, 0, 000, stopAll, 499, 507, -1
43.1, AI_CAM, 0, 000, stopAll, 499, 507, -1
43.3, AI_CAM, 0, 000, stopAll, 499, 507, -1
43.4, AI_CAM, 0, 000, stopAll, 499, 507, -1
43.5, AI_CAM, 0, 000, stopAll, 499, 507, -1
43.6, AI_CAM, 0, 000, stopAll, 499, 507, -1
43.7, AI_CAM, 0, 000, stopAll, 499, 507, -1
43.8, AI_CAM, 0, 000, stopAll, 499, 507, -1
43.9, AI_CAM, 0, 000, stopAll, 499, 507, -1
44.1, AI_CAM, 0, 000, stopAll, 499, 507, -1
44.2, AI_CAM, 2, 011, moveForward, 499, 507, -1
44.3, AI_CAM, 4, 011, moveForward, 499, 507, -1
44.4, AI_CAM, 6, 011, moveForward, 499, 507, -1
44.5, AI_CAM, 8, 011, moveForward, 499, 507, -1
44.6, AI_CAM, 10, 011, moveForward, 499, 507, -1
44.7, AI_CAM, 12, 011, moveForward, 499, 507, -1
44.9, AI_CAM, 14, 011, moveForward, 499, 507, -1
45.0, AI_CAM, 16, 011, moveForward, 499, 507, -1
45.1, AI_CAM, 18, 011, moveForward, 499, 507, -1
45.2, AI_CAM, 20, 011, moveForward, 499, 507, -1
45.3, AI_CAM, 22, 011, moveForward, 499, 507, -1
45.4, AI_CAM, 24, 011, moveForward, 499, 507, -1
45.5, AI_CAM, 26, 011, moveForward, 499, 507, -1
45.7, AI_CAM, 28, 011, moveForward, 499, 507, -1
45.8, AI_CAM, 30, 011, moveForward, 499, 507, -1
45.9, AI_CAM, 30, 011, moveForward, 499, 507, -1
46.0, AI_CAM, 28, 000, stopAll, 499, 507, -1
46.1, AI_CAM, 26, 000, stopAll, 499, 507, -1
46.2, AI_CAM, 24, 000, stopAll, 499, 507, -1
46.3, AI_CAM, 22, 000, stopAll, 499, 507, -1
46.4, AI_CAM, 20, 000, stopAll, 499, 507, -1
46.6, AI_CAM, 18, 000, stopAll, 499, 507, -1
46.7, AI_CAM, 16, 000, stopAll, 499, 507, -1
46.8, AI_CAM, 14, 000, stopAll, 499, 507, -1
46.9, AI_CAM, 12, 000, stopAll, 499, 507, -1
47.0, AI_CAM, 10, 000, stopAll, 499, 507, -1
47.1, AI_CAM, 12, 011, moveForward, 499, 507, -1
47.2, AI_CAM, 14, 011, moveForward, 499, 507, -1
